year,resource,variable,units,magnitude,source,data_value,flag
2014,Renewable,Generation,Gigawatt hours,Actual,MBIE,32652,F
2014,Renewable,Gigawatt hours,Number,Percent,MBIE,77,F
2014,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,10009995,R
2014,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,1017055,R
2014,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,882164,R
2014,Renewable,Resource rent,Number,Percent,Environmental Accounts,77,F
2014,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,3076,R
2014,Solar,Generation,Gigawatt hours,Actual,MBIE,9,F
2014,Solar,Gigawatt hours,Number,Percent,MBIE,0,F
2014,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1583,R
2014,Solar,Other changes,Dollars,Thousands,Environmental Accounts,1493,R
2014,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,246,R
2014,Total generation,Generation,Gigawatt hours,Actual,MBIE,42305,R
2014,Total generation,Prices,Number,Average,Electricity Authority,69,F
